UNIT FILE                                    STATE           PRESET
mdmonitor-oneshot.service                    static          -
mdmonitor.service                            static          -
mint-cloud-backup-dashboard.service          enabled         enabled
mint-cloud-backup-kuma-push.service          static          -
mint-cloud-backup-monitor.service            enabled         enabled
mint-cloud-backup.service                    static          -
mintsystem.service                           enabled         enabled
mintupdate-automation-autoremove.service     static          -
mintupdate-automation-cleanup.service        static          -
mintupdate-automation-upgrade.service        static          -
ModemManager.service                         enabled         enabled
modprobe@.service                            static          -
motd-news.service                            static          -
netplan-ovs-cleanup.service                  enabled-runtime enabled
networkd-dispatcher.service                  enabled         enabled
NetworkManager-dispatcher.service            enabled         enabled
NetworkManager-wait-online.service           enabled         enabled
NetworkManager.service                       enabled         enabled
nftables.service                             disabled        enabled
nm-priv-helper.service                       static          -
openvpn-client@.service                      disabled        enabled
openvpn-server@.service                      disabled        enabled
openvpn.service                              enabled         enabled
openvpn@.service                             disabled        enabled
packagekit-offline-update.service            static          -
packagekit.service                           static          -
pam_namespace.service                        static          -
plocate-updatedb.service                     static          -
plymouth-halt.service                        static          -
plymouth-kexec.service                       static          -
plymouth-log.service                         alias           -
plymouth-poweroff.service                    static          -
plymouth-quit-wait.service                   static          -
plymouth-quit.service                        static          -
plymouth-read-write.service                  static          -
plymouth-reboot.service                      static          -
plymouth-start.service                       static          -
plymouth-switch-root-initramfs.service       static          -
plymouth-switch-root.service                 static          -
plymouth.service                             alias           -
polkit.service                               static          -
power-profiles-daemon.service                enabled         enabled
procps.service                               alias           -
quotaon.service                              static          -
rc-local.service                             static          -
remote-recovery-tmux.service                 enabled         enabled
rescue.service                               static          -
rsync.service                                disabled        enabled
rsyslog.service                              enabled         enabled
rtkit-daemon.service                         disabled        enabled
rustdesk.service                             enabled         enabled
saned.service                                masked          enabled
saned@.service                               indirect        enabled
screen-watchdog.service                      enabled         enabled
secureboot-db.service                        enabled         enabled
serial-getty@.service                        disabled        enabled
setvtrgb.service                             enabled         enabled
speech-dispatcher.service                    generated       -
speech-dispatcherd.service                   disabled        enabled
ssh.service                                  enabled         enabled
sshd.service                                 alias           -
ssl-cert.service                             enabled         enabled
sudo.service                                 masked          enabled
surface-no-suspend.service                   enabled         enabled
switcheroo-control.service                   enabled         enabled
syslog.service                               alias           -
system-update-cleanup.service                static          -
system-watchdog.service                      enabled         enabled
systemd-ask-password-console.service         static          -
systemd-ask-password-plymouth.service        static          -
systemd-ask-password-wall.service            static          -
systemd-backlight@.service                   static          -
systemd-battery-check.service                static          -
systemd-binfmt.service                       static          -
systemd-boot-check-no-failures.service       disabled        disabled
systemd-bsod.service                         static          -
systemd-confext.service                      disabled        enabled
systemd-coredump@.service                    static          -
systemd-exit.service                         static          -
systemd-firstboot.service                    static          -
systemd-fsck-root.service                    enabled-runtime enabled
systemd-fsck@.service                        static          -
systemd-fsckd.service                        static          -
systemd-growfs-root.service                  static          -
systemd-growfs@.service                      static          -
systemd-halt.service                         static          -
systemd-hibernate-resume.service             static          -
systemd-hibernate.service                    static          -
systemd-hostnamed.service                    static          -
systemd-hwdb-update.service                  static          -
systemd-hybrid-sleep.service                 static          -
systemd-initctl.service                      static          -
systemd-journal-catalog-update.service       static          -
systemd-journal-flush.service                static          -
systemd-journald.service                     static          -
systemd-journald@.service                    static          -
systemd-kexec.service                        static          -
systemd-localed.service                      static          -
systemd-logind.service                       static          -
systemd-machine-id-commit.service            static          -
systemd-modules-load.service                 static          -
systemd-network-generator.service            disabled        enabled
systemd-networkd-wait-online.service         disabled        enabled
systemd-networkd-wait-online@.service        disabled        enabled
systemd-networkd.service                     disabled        enabled
systemd-pcrextend@.service                   static          -
systemd-pcrfs-root.service                   static          -
systemd-pcrfs@.service                       static          -
systemd-pcrlock-file-system.service          disabled        enabled
systemd-pcrlock-firmware-code.service        disabled        enabled
systemd-pcrlock-firmware-config.service      disabled        enabled
systemd-pcrlock-machine-id.service           disabled        enabled
systemd-pcrlock-make-policy.service          disabled        enabled
systemd-pcrlock-secureboot-authority.service disabled        enabled
systemd-pcrlock-secureboot-policy.service    disabled        enabled
systemd-pcrmachine.service                   static          -
systemd-pcrphase-initrd.service              static          -
systemd-pcrphase-sysinit.service             static          -
systemd-pcrphase.service                     static          -
systemd-poweroff.service                     static          -
systemd-pstore.service                       enabled         enabled
systemd-quotacheck.service                   static          -
systemd-random-seed.service                  static          -
systemd-reboot.service                       static          -
systemd-remount-fs.service                   enabled-runtime enabled
systemd-repart.service                       static          -
systemd-resolved.service                     enabled         enabled
systemd-rfkill.service                       static          -
systemd-soft-reboot.service                  static          -
systemd-storagetm.service                    static          -
systemd-suspend-then-hibernate.service       static          -
systemd-suspend.service                      static          -
systemd-sysctl.service                       static          -
systemd-sysext.service                       disabled        enabled
systemd-sysext@.service                      static          -
systemd-sysupdate-reboot.service             indirect        enabled
systemd-sysupdate.service                    indirect        enabled
systemd-sysusers.service                     static          -
systemd-time-wait-sync.service               disabled        disabled
systemd-timedated.service                    static          -
systemd-timesyncd.service                    enabled         enabled
systemd-tmpfiles-clean.service               static          -
systemd-tmpfiles-setup-dev-early.service     static          -
systemd-tmpfiles-setup-dev.service           static          -
systemd-tmpfiles-setup.service               static          -
systemd-tpm2-setup-early.service             static          -
systemd-tpm2-setup.service                   static          -
systemd-udev-settle.service                  static          -
systemd-udev-trigger.service                 static          -
systemd-udevd.service                        static          -
systemd-update-done.service                  static          -
systemd-update-utmp-runlevel.service         static          -
systemd-update-utmp.service                  static          -
systemd-user-sessions.service                static          -
systemd-volatile-root.service                static          -
tailscale-wait-online.service                disabled        enabled
tailscaled.service                           enabled         enabled
thermald.service                             enabled         enabled
tpm-udev.service                             static          -
transfer-usb-io-watchdog.service             enabled         enabled
ubuntu-system-adjustments.service            enabled         enabled
udev.service                                 alias           -
udisks2.service                              enabled         enabled
ufw.service                                  enabled         enabled
upower.service                               disabled        enabled
usb_modeswitch@.service                      static          -
usbmuxd.service                              static          -
user-runtime-dir@.service                    static          -
user@.service                                static          -
uuidd.service                                indirect        enabled
wacom-inputattach@.service                   static          -
wpa_supplicant-nl80211@.service              disabled        enabled
wpa_supplicant-wired@.service                disabled        enabled
wpa_supplicant.service                       enabled         enabled
wpa_supplicant@.service                      disabled        enabled
x11-common.service                           masked          enabled
xfs_scrub@.service                           static          -
xfs_scrub_all.service                        static          -
xfs_scrub_fail@.service                      static          -
xrdp-sesman.service                          enabled         enabled
xrdp.service                                 enabled         enabled
machine.slice                                static          -
system-systemd\x2dcryptsetup.slice           static          -
system-systemd\x2dveritysetup.slice          static          -
user.slice                                   static          -
avahi-daemon.socket                          enabled         enabled
cups.socket                                  enabled         enabled
dbus.socket                                  static          -
dm-event.socket                              enabled         enabled
lvm2-lvmpolld.socket                         enabled         enabled
saned.socket                                 disabled        enabled
ssh.socket                                   enabled         enabled
syslog.socket                                static          -
systemd-coredump.socket                      static          -
systemd-fsckd.socket                         static          -
systemd-initctl.socket                       static          -
systemd-journald-audit.socket                disabled        enabled
systemd-journald-dev-log.socket              static          -
systemd-journald-varlink@.socket             static          -
systemd-journald.socket                      static          -
systemd-journald@.socket                     static          -
systemd-networkd.socket                      disabled        enabled
systemd-pcrextend.socket                     disabled        enabled
systemd-rfkill.socket                        static          -
systemd-sysext.socket                        disabled        enabled
systemd-udevd-control.socket                 static          -
systemd-udevd-kernel.socket                  static          -
uuidd.socket                                 enabled         enabled
swapfile.swap                                generated       -
basic.target                                 static          -
blockdev@.target                             static          -
bluetooth.target                             static          -
boot-complete.target                         static          -
cryptsetup-pre.target                        static          -
cryptsetup.target                            static          -
ctrl-alt-del.target                          alias           -
default.target                               alias           -
emergency.target                             static          -
exit.target                                  disabled        disabled
factory-reset.target                         static          -
final.target                                 static          -
first-boot-complete.target                   static          -
friendly-recovery.target                     static          -
getty-pre.target                             static          -
getty.target                                 static          -
graphical.target                             static          -
halt.target                                  disabled        disabled
hibernate.target                             masked          enabled
hybrid-sleep.target                          masked          enabled
initrd-fs.target                             static          -
initrd-root-device.target                    static          -
initrd-root-fs.target                        static          -
initrd-switch-root.target                    static          -
initrd-usr-fs.target                         static          -
initrd.target                                static          -
integritysetup-pre.target                    static          -
integritysetup.target                        static          -
kexec.target                                 disabled        disabled
local-fs-pre.target                          static          -
local-fs.target                              static          -
multi-user.target                            static          -
network-online.target                        static          -
network-pre.target                           static          -
network.target                               static          -
nss-lookup.target                            static          -
nss-user-lookup.target                       static          -
paths.target                                 static          -
poweroff.target                              disabled        disabled
printer.target                               static          -
reboot.target                                disabled        enabled
remote-cryptsetup.target                     disabled        enabled
remote-fs-pre.target                         static          -
remote-fs.target                             enabled         enabled
remote-veritysetup.target                    disabled        enabled
rescue-ssh.target                            static          -
rescue.target                                static          -
rpcbind.target                               static          -
runlevel0.target                             alias           -
runlevel1.target                             alias           -
runlevel2.target                             alias           -
runlevel3.target                             alias           -
runlevel4.target                             alias           -
runlevel5.target                             alias           -
runlevel6.target                             alias           -
shutdown.target                              static          -
sigpwr.target                                static          -
sleep.target                                 masked          enabled
slices.target                                static          -
smartcard.target                             static          -
sockets.target                               static          -
soft-reboot.target                           static          -
sound.target                                 static          -
storage-target-mode.target                   static          -
suspend-then-hibernate.target                static          -
suspend.target                               masked          enabled
swap.target                                  static          -
sysinit.target                               static          -
system-update-pre.target                     static          -
system-update.target                         static          -
tailscale-online.target                      static          -
time-set.target                              static          -
time-sync.target                             static          -
timers.target                                static          -
umount.target                                static          -
usb-gadget.target                            static          -
veritysetup-pre.target                       static          -
veritysetup.target                           static          -
anacron.timer                                enabled         enabled
apt-daily-upgrade.timer                      enabled         enabled
apt-daily.timer                              enabled         enabled
disk-usage-monitor.timer                     enabled         enabled
dpkg-db-backup.timer                         enabled         enabled
e2scrub_all.timer                            enabled         enabled
fstrim.timer                                 enabled         enabled
fwupd-refresh.timer                          enabled         enabled
logrotate.timer                              enabled         enabled
man-db.timer                                 enabled         enabled
mdadm-last-resort@.timer                     static          -
mdcheck_continue.timer                       enabled         enabled
mdcheck_start.timer                          enabled         enabled
mdmonitor-oneshot.timer                      enabled         enabled
mint-cloud-backup-kuma-push.timer            enabled         enabled
mint-cloud-backup.timer                      enabled         enabled
mintupdate-automation-autoremove.timer       enabled         enabled
mintupdate-automation-upgrade.timer          enabled         enabled
motd-news.timer                              enabled         enabled
plocate-updatedb.timer                       enabled         enabled
systemd-sysupdate-reboot.timer               disabled        enabled
systemd-sysupdate.timer                      disabled        enabled
systemd-tmpfiles-clean.timer                 static          -
xfs_scrub_all.timer                          disabled        enabled

422 unit files listed.
